dimension,bucket,n,avg_prob,diabetic_rate
hbA1c_level,Normal (<5.7),7673,0.003130514531587081,0.0
hbA1c_level,Diabetic (>=6.5),4152,0.24914374217965582,0.23723506743737957
hbA1c_level,Prediabetes (5.7-6.4),8265,0.0701925201508582,0.0779189352692075
blood_glucose_level,High (>=126),14440,0.11052583249761183,0.11281163434903047
blood_glucose_level,Normal (<100),4264,0.006380822468932775,0.0
blood_glucose_level,Prediabetes (100-125),1386,0.011115141633909587,0.0
bmi,Overweight (25-29.9),9281,0.0735839201270443,0.07122077362353195
bmi,Normal (18.5-24.9),4475,0.03711929534592305,0.04111731843575419
bmi,Obese (>=30),4673,0.1667123544536861,0.16477637491975178
bmi,Underweight (<18.5),1661,0.006332566431945854,0.008428657435279952
age,Senior (>=55),6437,0.1805489251236089,0.17679043032468542
age,Young (18-34),4379,0.0161715157181922,0.01644211007079242
age,Middle (35-54),5859,0.06654270230728004,0.0677590032428742
age,Children (<18),3415,0.00460446366285709,0.00644216691068814
hypertension,1,1529,0.2717144494214137,0.2674950948332243
hypertension,0,18561,0.06589919947267396,0.06572921717579872
heart_disease,1,767,0.30457561425998075,0.2842242503259452
heart_disease,0,19323,0.07271111827564239,0.07302178750711587
