cohort_dimension,cohort_value,cohort_size,diabetes_count,prevalence_rate
age_bucket,0-24,25885,155,0.006
age_bucket,25-39,19602,555,0.0283
age_bucket,40-54,22251,1816,0.0816
age_bucket,55-69,18987,3301,0.1739
age_bucket,70+,13275,2673,0.2014
race,AfricanAmerican,20223,1768,0.0874
race,Asian,20015,1743,0.0871
race,Caucasian,19876,1670,0.084
race,Hispanic,19888,1676,0.0843
race,Other,19998,1643,0.0822
gender,Female,58552,4461,0.0762
gender,Male,41430,4039,0.0975
gender,Other,18,0,0.0
bmi_bucket,Normal,22219,863,0.0388
bmi_bucket,Obese,23536,4233,0.1799
bmi_bucket,Overweight,45751,3340,0.073
bmi_bucket,Underweight,8494,64,0.0075
hypertension,0,92515,6412,0.0693
hypertension,1,7485,2088,0.279
heart_disease,0,96058,7233,0.0753
heart_disease,1,3942,1267,0.3214
smoking_history,Current,9286,948,0.1021
smoking_history,Former,19803,2752,0.139
smoking_history,Never,35095,3346,0.0953
smoking_history,Unknown,35816,1454,0.0406
location,Alabama,2036,175,0.086
location,Alaska,2035,173,0.085
location,Arizona,1986,140,0.0705
location,Arkansas,2037,173,0.0849
location,California,1986,161,0.0811
location,Colorado,2035,163,0.0801
location,Connecticut,2035,180,0.0885
location,Delaware,2036,200,0.0982
location,District of Columbia,2036,178,0.0874
location,Florida,2037,176,0.0864
location,Georgia,2036,172,0.0845
location,Guam,1204,110,0.0914
location,Hawaii,2038,186,0.0913
location,Idaho,1988,149,0.0749
location,Illinois,2036,195,0.0958
location,Indiana,1987,167,0.084
location,Iowa,2038,162,0.0795
location,Kansas,2036,199,0.0977
location,Kentucky,2038,192,0.0942
location,Louisiana,2036,167,0.082
location,Maine,2036,170,0.0835
location,Maryland,2035,184,0.0904
location,Massachusetts,2036,159,0.0781
location,Michigan,2036,173,0.085
location,Minnesota,2037,172,0.0844
location,Mississippi,2035,184,0.0904
location,Missouri,2035,167,0.0821
location,Montana,2033,194,0.0954
location,Nebraska,2038,175,0.0859
location,Nevada,1986,169,0.0851
location,New Hampshire,2035,151,0.0742
location,New Jersey,2037,163,0.08
location,New Mexico,2033,184,0.0905
location,New York,2035,140,0.0688
location,North Carolina,2035,160,0.0786
location,North Dakota,2035,177,0.087
location,Ohio,1986,155,0.078
location,Oklahoma,1986,142,0.0715
location,Oregon,2036,167,0.082
location,Pennsylvania,2036,170,0.0835
location,Puerto Rico,1295,104,0.0803
location,Rhode Island,2035,192,0.0943
location,South Carolina,1987,159,0.08
location,South Dakota,2033,158,0.0777
location,Tennessee,1574,146,0.0928
location,Texas,1337,109,0.0815
location,United States,1401,131,0.0935
location,Utah,1359,120,0.0883
location,Vermont,1338,125,0.0934
location,Virgin Islands,763,72,0.0944
location,Virginia,1350,125,0.0926
location,Washington,1363,121,0.0888
location,West Virginia,1132,107,0.0945
location,Wisconsin,388,25,0.0644
location,Wyoming,388,32,0.0825
